Date,Time,Open,High,Low,Close,Tick volume
2025.01.06,22:30:00,1.03812,1.03856,1.03666,1.03687,3532
2025.01.06,22:45:00,1.03692,1.03988,1.03692,1.03925,3324
2025.01.06,23:00:00,1.03925,1.03987,1.038,1.03855,3866
2025.01.06,23:15:00,1.03855,1.03861,1.03758,1.03808,2684
2025.01.06,23:30:00,1.03809,1.03846,1.03712,1.03753,2687
2025.01.06,23:45:00,1.03753,1.03985,1.03751,1.03935,3721
2025.01.07,00:00:00,1.03936,1.03974,1.03854,1.03899,2399
2025.01.07,00:15:00,1.03899,1.03961,1.03866,1.03948,1840
2025.01.07,00:30:00,1.03948,1.04027,1.03946,1.03982,1763
2025.01.07,00:45:00,1.03983,1.03989,1.0392,1.03967,1128
2025.01.07,01:00:00,1.03968,1.03968,1.03821,1.03826,1517
2025.01.07,01:15:00,1.0383,1.03866,1.03805,1.03833,982
2025.01.07,01:30:00,1.03832,1.03855,1.03802,1.03822,818
2025.01.07,01:45:00,1.0382,1.03878,1.03793,1.03873,812
2025.01.07,02:00:00,1.03873,1.03892,1.0377,1.03828,1226
2025.01.07,02:15:00,1.03828,1.03878,1.03801,1.03856,754
2025.01.07,02:30:00,1.03855,1.03881,1.03795,1.03842,656
2025.01.07,02:45:00,1.03846,1.03873,1.03808,1.03818,598
2025.01.07,03:00:00,1.03819,1.03863,1.03788,1.03844,751
2025.01.07,03:15:00,1.03843,1.03901,1.03841,1.03881,733
2025.01.07,03:30:00,1.0388,1.03917,1.03872,1.03885,638
2025.01.07,03:45:00,1.03885,1.03898,1.03858,1.03882,513
2025.01.07,04:00:00,1.03883,1.03918,1.03868,1.03916,491
2025.01.07,04:15:00,1.03917,1.03919,1.03885,1.03892,377
2025.01.07,04:30:00,1.03892,1.03892,1.03861,1.03879,375
2025.01.07,04:45:00,1.0388,1.03882,1.03859,1.03877,663
2025.01.07,05:00:00,1.03879,1.03886,1.0386,1.03878,336
2025.01.07,05:15:00,1.03878,1.03921,1.03874,1.0391,290
2025.01.07,05:30:00,1.03911,1.03916,1.03887,1.03896,273
2025.01.07,05:45:00,1.03895,1.03902,1.03885,1.03895,362
2025.01.07,06:00:00,1.03893,1.03906,1.0385,1.03885,144
2025.01.07,06:15:00,1.03885,1.03903,1.03885,1.03901,141
2025.01.07,06:30:00,1.03901,1.03909,1.03885,1.03903,230
2025.01.07,06:45:00,1.03904,1.03904,1.0388,1.0389,468
2025.01.07,07:00:00,1.0389,1.03901,1.03856,1.03856,328
2025.01.07,07:15:00,1.03856,1.03856,1.03824,1.0383,170
2025.01.07,07:30:00,1.0383,1.03858,1.03824,1.03852,184
2025.01.07,07:45:00,1.03851,1.03852,1.03816,1.03831,199
2025.01.07,08:00:00,1.03831,1.03835,1.03805,1.03813,414
2025.01.07,08:15:00,1.03813,1.03822,1.03771,1.03772,439
2025.01.07,08:30:00,1.03774,1.03812,1.03772,1.03812,378
2025.01.07,08:45:00,1.03812,1.03853,1.03803,1.03842,647
2025.01.07,09:00:00,1.03841,1.03846,1.03775,1.03793,657
2025.01.07,09:15:00,1.03793,1.03827,1.03783,1.03798,508
2025.01.07,09:30:00,1.03798,1.03801,1.03761,1.0377,501
